AFRAMER 20,118883,Friday,12/13/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
AFRIKAAN 101AR,205835,Tuesday,12/10/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
AFRIKAAN AA,109427,Friday,12/13/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
AFRIKAAN BA,205832,Tuesday,12/10/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
AMHARIC 101AR,205845,Tuesday,12/10/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
AMHARIC AA,126300,Friday,12/13/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
AMHARIC BA,205853,Wednesday,12/18/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
ANE 120A,118849,Tuesday,12/10/2019,9:00 AM,Andrew Teeter,,,,,,,,,,,,,,,,,,
ANTHRO 1190,125450,Thursday,12/19/2019,9:00 AM,Matt Liebmann,,,,,,,,,,,,,,,,,,
ANTHRO 1255,212875,Wednesday,12/18/2019,2:00 PM,Christina Warinner,,,,,,,,,,,,,,,,,,
APMTH 101,132127,Tuesday,12/17/2019,9:00 AM,Robert D. Howe,,,,,,,,,,,,,,,,,,
APMTH 22A,211334,Friday,12/13/2019,9:00 AM,Steven Gortler,,,,,,,,,,,,,,,,,,
APPHY 195,131331,Wednesday,12/18/2019,2:00 PM,Julia Mundy,,,,,,,,,,,,,,,,,,
APPHY 284,131392,Friday,12/13/2019,9:00 AM,David R. Nelson,,,,,,,,,,,,,,,,,,
ASTRON 1,113797,Thursday,12/12/2019,9:00 AM,David Charbonneau,,,,,,,,,,,,,,,,,,
ASTRON 110,125881,Thursday,12/12/2019,9:00 AM,John Johnson,,,,,,,,,,,,,,,,,,
ASTRON 17,125884,Wednesday,12/18/2019,2:00 PM,Xingang Chen,,,,,,,,,,,,,,,,,,
ASTRON 2,111305,Tuesday,12/10/2019,9:00 AM,Philip Sadler,,_,,,,,,,,,,,,,,,,
ASTRON 200,124966,Saturday,12/14/2019,9:00 AM,Ramesh Narayan,,,,,,,,,,,,,,,,,,
BCS AA,110073,Wednesday,12/11/2019,2:00 PM,Tatiana Kuzmic,,,,,,,,,,,,,,,,,,
BE 110,150189,Saturday,12/14/2019,9:00 AM,Maurice Smith,,,,,,,,,,,,,,,,,,
CHEM 100R,123022,Thursday,12/19/2019,9:00 AM,Heidi Vollmer-Snarr,,,,,,,,,,,,,,,,,,
CHEM 105,109454,Thursday,12/12/2019,9:00 AM,Eric Jacobsen,,,,,,,,,,,,,,,,,,
CHEM 17,115137,Monday,12/16/2019,2:00 PM,Christina Woo,,,,,,,,,,,,,,,,,,
CHEM 30,118925,Tuesday,12/10/2019,9:00 AM,Andrew Myers,,,,,,,,,,,,,,,,,,
CHNSE 106A,110543,Wednesday,12/11/2019,9:00 AM,David Sena,,,,,,,,,,,,,,,,,,
CHNSE 107A,112899,Wednesday,12/11/2019,2:00 PM,David Sena,,,,,,,,,,,,,,,,,,
CHNSE 120A,113793,Monday,12/16/2019,9:00 AM,Bin Yang,,,,,,,,,,,,,,,,,,
CHNSE 130A,159629,Monday,12/16/2019,9:00 AM,Mo Zhang,,,,,,,,,,,,,,,,,,
CHNSE 130XA,124235,Monday,12/16/2019,9:00 AM,Xueyin Shao,,,,,,,,,,,,,,,,,,
CHNSE 140A,111129,Monday,12/16/2019,9:00 AM,Dan Wang,,,,,,,,,,,,,,,,,,
CHNSE 140XA,207494,Monday,12/16/2019,9:00 AM,Ya Ting Fan,,,,,,,,,,,,,,,,,,
CHNSE BA,113873,Monday,12/16/2019,9:00 AM,Xiaoshi Yu,,,,,,,,,,,,,,,,,,
CHNSE BX,120305,Monday,12/16/2019,9:00 AM,Jie Ying,,,,,,,,,,,,,,,,,,
CLAS-HEB 120A,116431,Wednesday,12/11/2019,2:00 PM,Andrew Teeter,,,,,,,,,,,,,,,,,,
CLAS-HEB 130AR,122692,Thursday,12/19/2019,9:00 AM,Andrew Teeter,,,,,,,,,,,,,,,,,,
CLAS-HEB AA,123023,Wednesday,12/11/2019,9:00 AM,Andrew Teeter,,,,,,,,,,,,,,,,,,
CLS-STDY 152,156310,Tuesday,12/10/2019,9:00 AM,Naomi Weiss,,,,,,,,,,,,,,,,,,
CLS-STDY 97A,116729,Tuesday,12/17/2019,9:00 AM,Paul Kosmin,,,,,,,,,,,,,,,,,,
COMPSCI 121,119064,Tuesday,12/10/2019,9:00 AM,Boaz Barak,,,,,,,,,,,,,,,,,,
COMPSCI 153,131493,Thursday,12/19/2019,9:00 AM,Stephen Chong,,,,,,,,,,,,,,,,,,
COMPSCI 263,160579,Thursday,12/12/2019,9:00 AM,James Mickens,,,,,,,,,,,,,,,,,,
COMPSCI 61,123623,Thursday,12/12/2019,9:00 AM,Eddie Kohler,,,,,,,,,,,,,,,,,,
E-PSCI 142,205567,Saturday,12/14/2019,2:00 PM,Rebecca Fischer,,,,,,,,,,,,,,,,,,
E-PSCI 187,117399,Saturday,12/14/2019,9:00 AM,Ann Pearson,,,,,,,,,,,,,,,,,,
E-PSCI 287,119062,Thursday,12/12/2019,2:00 PM,Ann Pearson,,,,,,,,,,,,,,,,,,
E-PSCI 56,108969,Wednesday,12/11/2019,2:00 PM,David Johnston,,,,,,,,,,,,,,,,,,
ECON 1010A,108901,Wednesday,12/18/2019,9:00 AM,Maxim Boycko,,,,,,,,,,,,,,,,,,
ECON 1010B,112062,Wednesday,12/18/2019,9:00 AM,Thomas Baranga,,,,,,,,,,,,,,,,,,
ECON 1011A,120711,Thursday,12/19/2019,9:00 AM,Edward Glaeser,,,,,,,,,,,,,,,,,,
ECON 1057,203555,Thursday,12/19/2019,2:00 PM,Erez Yoeli,,,,,,,,,,,,,,,,,,
ECON 1088,213522,Wednesday,12/11/2019,2:00 PM,Emily Breza,,,,,,,,,,,,,,,,,,
ECON 10A,113326,Tuesday,12/17/2019,9:00 AM,Jason Furman,,,,,,,,,,,,,,,,,,
ECON 1123,123033,Wednesday,12/11/2019,9:00 AM,James H. Stock,,,,,,,,,,,,,,,,,,
ECON 1342,160351,Saturday,12/14/2019,9:00 AM,Melissa Dell,,,,,,,,,,,,,,,,,,
ECON 1410,117818,Wednesday,12/18/2019,2:00 PM,Stefanie Stantcheva,,,,,,,,,,,,,,,,,,
ECON 1415,107613,,,Consult HKS,,,,,,,,,,,,,,,,,,,
ECON 1420,123003,Thursday,12/19/2019,9:00 AM,Lawrence H. Summers,,,,,,,,,,,,,,,,,,
ECON 1436,211204,Tuesday,12/10/2019,9:00 AM,Benjamin Enke,,,,,,,,,,,,,,,,,,
ECON 1640,116133,Thursday,12/19/2019,9:00 AM,Robin Lee,,,,,,,,,,,,,,,,,,
ECON 1723,111105,Thursday,12/12/2019,2:00 PM,Xavier Gabaix,,,,,,,,,,,,,,,,,,
ECON 1776,125944,Wednesday,12/11/2019,9:00 AM,Benjamin Friedman,,,,,,,,,,,,,,,,,,
ECON 1936,107388,Saturday,12/14/2019,2:00 PM,Stephen Marglin,,,,,,,,,,,,,,,,,,
ECON 2010A,124134,Tuesday,12/10/2019,9:00 AM,Edward Glaeser,,,,,,,,,,,,,,,,,,
ECON 2020A,112942,,,Consult HKS,,,,,,,,,,,,,,,,,,,
ECON 2060,110708,Wednesday,12/18/2019,9:00 AM,Oliver Hart,,,,,,,,,,,,,,,,,,
ECON 2110,120668,Friday,12/13/2019,9:00 AM,Gregory Bruich,,,,,,,,,,,,,,,,,,
ECON 2450A,110660,Saturday,12/14/2019,9:00 AM,Stefanie Stantcheva,,,,,,,,,,,,,,,,,,
ECON 2723,111998,Thursday,12/12/2019,9:00 AM,John Campbell,,,,,,,,,,,,,,,,,,
EGYPTIAN 150,127917,Saturday,12/14/2019,9:00 AM,Peter Manuelian,,,,,,,,,,,,,,,,,,
EGYPTIAN AA,126691,Thursday,12/12/2019,9:00 AM,Peter Manuelian,,,,,,,,,,,,,,,,,,
ENG-SCI 125,144157,Monday,12/16/2019,2:00 PM,Boris Kozinsky,,,,,,,,,,,,,,,,,,
ENG-SCI 153,156518,Thursday,12/12/2019,9:00 AM,Thomas Hayes,,,,,,,,,,,,,,,,,,
ENG-SCI 157,109358,Tuesday,12/10/2019,9:00 AM,Demba Ba,,,,,,,,,,,,,,,,,,
ENG-SCI 181,135598,Tuesday,12/10/2019,9:00 AM,Zhigang Suo,,,,,,,,,,,,,,,,,,
ENG-SCI 51,148434,Wednesday,12/11/2019,2:00 PM,Michelle Rosen,,,,,,,,,,,,,,,,,,
ENG-SCI 53,122339,Friday,12/13/2019,9:00 AM,Linsey Moyer,,,,,,,,,,,,,,,,,,
ENGLISH 102J,207605,Wednesday,12/11/2019,9:00 AM,Daniel Donoghue,,,,,,,,,,,,,,,,,,
ENGLISH 146ET,212754,Thursday,12/12/2019,9:00 AM,James Engell,,,,,,,,,,,,,,,,,,
ENGLISH 170A,130260,Wednesday,12/11/2019,2:00 PM,Louis Menand,,,,,,,,,,,,,,,,,,
EWE AA,214450,Saturday,12/14/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
GENED 1018,118517,Thursday,12/12/2019,9:00 AM,Charles Langmuir,,,,,,,,,,,,,,,,,,
GENED 1019,118290,Friday,12/13/2019,9:00 AM,Orlando Patterson,,,,,,,,,,,,,,,,,,
GENED 1043,109501,Wednesday,12/18/2019,9:00 AM,Eric Rentschler,,,,,,,,,,,,,,,,,,
GENED 1069,109861,Thursday,12/12/2019,9:00 AM,Courtney Lamberth,,,,,,,,,,,,,,,,,,
GENED 1079,125932,Friday,12/13/2019,9:00 AM,David Cutler,,,,,,,,,,,,,,,,,,
GENED 1105,112378,Wednesday,12/18/2019,9:00 AM,Rowan Flad,,,,,,,,,,,,,,,,,,
GENED 1116,108405,Tuesday,12/17/2019,2:00 PM,David Shumway Jones,,,,,,,,,,,,,,,,,,
GENED 1120,107821,Tuesday,12/10/2019,9:00 AM,Lawrence H. Summers,,,,,,,,,,,,,,,,,,
GENED 1123,126908,Friday,12/13/2019,9:00 AM,Malika Zeghal,,,,,,,,,,,,,,,,,,
GENED 1129,110382,Saturday,12/14/2019,9:00 AM,Donald Goldmann,,,,,,,,,,,,,,,,,,
GENED 1131,212841,Saturday,12/14/2019,9:00 AM,Kathleen Coleman,,,,,,,,,,,,,,,,,,
GENED 1154,212847,Saturday,12/14/2019,9:00 AM,Jason Mitchell,,,,,,,,,,,,,,,,,,
GERMAN 10A,113802,Monday,12/16/2019,9:00 AM,Lisa Parkes,,,,,,,,,,,,,,,,,,
GERMAN 10AB,124093,Monday,12/16/2019,9:00 AM,Lisa Parkes,,,,,,,,,,,,,,,,,,
GERMAN 143,203214,Tuesday,12/10/2019,9:00 AM,Alison Frank Johnson,,,,,,,,,,,,,,,,,,
GERMAN 61,122031,Tuesday,12/10/2019,9:00 AM,Peter Burgard,,,,,,,,,,,,,,,,,,
GIKUYU AA,120934,Monday,12/16/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
GOV 1060,114754,Thursday,12/19/2019,9:00 AM,Harvey Mansfield,,,,,,,,,,,,,,,,,,
GOV 1074,156108,Wednesday,12/11/2019,2:00 PM,Eric Nelson,,,,,,,,,,,,,,,,,,
GOV 1243,111162,Thursday,12/19/2019,2:00 PM,Timothy Colton,,,,,,,,,,,,,,,,,,
GOV 1263,207164,Wednesday,12/11/2019,2:00 PM,Horacio Larreguy,,,,,,,,,,,,,,,,,,
GOV 1270,110842,Wednesday,12/18/2019,2:00 PM,Daniel Smith,,,,,,,,,,,,,,,,,,
GOV 1368,121728,Tuesday,12/17/2019,2:00 PM,Paul Peterson,,,,,,,,,,,,,,,,,,
GOV 1510,128024,Thursday,12/12/2019,2:00 PM,Richard Fallon,,,,,,,,,,,,,,,,,,
GOV 1734,160373,Saturday,12/14/2019,9:00 AM,Stephen Rosen,,,,,,,,,,,,,,,,,,
GOV 1780,111906,Wednesday,12/18/2019,2:00 PM,Jeffry Frieden,,,,,,,,,,,,,,,,,,
GOV 20,117853,Tuesday,12/17/2019,2:00 PM,George Soroka,,,,,,,,,,,,,,,,,,
GOV 2005,110953,Wednesday,12/18/2019,2:00 PM,William Clark,,,,,,,,,,,,,,,,,,
GOV 30,111813,Wednesday,12/18/2019,9:00 AM,Paul Peterson,,,,,,,,,,,,,,,,,,
GREEK 1,203024,Monday,12/16/2019,9:00 AM,Ivy Livingston,,,,,,,,,,,,,,,,,,
GREEK 10,203230,Wednesday,12/11/2019,9:00 AM,Ivy Livingston,,,,,,,,,,,,,,,,,,
GREEK 108,117421,Saturday,12/14/2019,9:00 AM,Gregory Mellen,,,,,,,,,,,,,,,,,,
GREEK 112A,112288,Tuesday,12/10/2019,9:00 AM,David Elmer,,,,,,,,,,,,,,,,,,
GREEK 2X,203260,Monday,12/16/2019,9:00 AM,Ivy Livingston,,,,,,,,,,,,,,,,,,
GREEK 3,203229,Monday,12/16/2019,9:00 AM,Ivy Livingston,,,,,,,,,,,,,,,,,,
GULLAH 101AR,206601,Saturday,12/14/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
GULLAH AA,206597,Saturday,12/14/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
GULLAH BA,206599,Saturday,12/14/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
HAITIAN 101AR,205856,Wednesday,12/11/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
HAITIAN AA,126306,Tuesday,12/10/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
HAITIAN BA,205848,Wednesday,12/18/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
HASSANIY AA,214369,Friday,12/13/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
HAUSA AA,126307,Friday,12/13/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
HEB 1280,202992,Wednesday,12/11/2019,2:00 PM,Richard Wrangham,,,,,,,,,,,,,,,,,,
HIST 1002,212669,Wednesday,12/18/2019,2:00 PM,Lisa McGirr,,,,,,,,,,,,,,,,,,
HIST 1004,207529,Saturday,12/14/2019,2:00 PM,Brandon Bloch,,,,,,,,,,,,,,,,,,
HIST 1023,142657,Tuesday,12/17/2019,9:00 AM,Andrew Gordon,,,,,,,,,,,,,,,,,,
